Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
fmk,https://www.fmk.dk/kontakt-og-aabningstider/fagomraader-og-stabe/by-land-og-kultur/miljoe-og-byg/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groen-institution/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groent-kontor/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ ,Danish,0.00019323671499599633,0.00019323671498055068,0.00019323671498917738,0.00019323671498920196,0.00019323671498667566,0.00019323671501693046,0.00019323671498660375,0.0001932367149867983,0.00019323671498612156,0.00019323671501104807,0.00019323671498848354,0.00019323671501386537,0.00019323671500037922,0.00019323671498514523,0.00019323671498784338,0.00019323671498589916,0.0001932367149910313,0.00019323671498981486,0.00019323671498260261,0.9953623188401847,0.00019323671499199902,0.00019323671499372927,0.000193236715009348,0.0001932367149822088,0.00019323671498390542
sundolitt,https://www.sundolitt.com/da/miljo/ https://www.sundolitt.com/da/miljo/ ,Danish,0.00019323671498351554,0.00019323671497698547,0.000193236714986301,0.00019323671498376266,0.00019323671498913336,0.00019323671500020027,0.00019323671498651255,0.0001932367149849867,0.00019323671498468493,0.00019323671499678875,0.9012910868268823,0.00019323671499913778,0.00019323671499345992,0.0001932367149828934,0.00019323671498214164,0.00019323671498481975,0.00019323671497820707,0.00019323671498216614,0.000193236714982198,0.09426446872840556,0.000193236715008441,0.0001932367149927538,0.00019323671499012576,0.00019323671498004547,0.00019323671498288638
verdensmaalene,https://www.verdensmaalene.dk/ https://www.verdensmaalene.dk/fakta/verdensmaalene https://www.verdensmaalene.dk/maal/12 https://www.verdensmaalene.dk/fakta/hvad-er-baeredygtig-udvikling ,Danish,6.568144499501987e-05,6.568144499279933e-05,6.568144499700498e-05,6.568144499605582e-05,6.568144499465316e-05,6.568144499962731e-05,6.56814449955052e-05,6.568144499555952e-05,6.568144499520544e-05,0.4075824373703869,6.568144499497823e-05,6.568144499798644e-05,6.568144499732935e-05,6.568144499461978e-05,6.568144499436044e-05,6.568144499543464e-05,6.568144499766186e-05,6.568144499527734e-05,6.568144499414401e-05,0.5011517804118135,6.568144499908471e-05,0.08982079042789247,6.568144499639119e-05,6.568144499372596e-05,6.568144499450317e-05
mst,http://mst.dk/ https://mst.dk/natur-vand/vandmiljoe/vandomraadeplaner/ https://mst.dk/erhverv/skovbrug/nationalt-skovprogram/det-nationale-skovprogram/temaer/baeredygtig-produktion/ https://mst.dk/erhverv/groen-virksomhed/groenne-offentlige-myndigheder/baeredygtigt-forbrug/ ,Danish,0.0003149606299330639,0.00031496062992240415,0.00031496062993954674,0.0003149606299401371,0.00031496062993730076,0.00031496062995769043,0.0003149606299396318,0.000314960629937893,0.0003149606299359123,0.0003149606299775307,0.0003149606299351886,0.00031496062995313597,0.000314960629938142,0.0003149606299339406,0.00031496062993305486,0.0003149606299364749,0.00031496062992794854,0.0003149606299351316,0.0003149606299338621,0.9924409448814364,0.0003149606299570136,0.0003149606299630679,0.0003149606299350384,0.00031496062992824827,0.0003149606299322429
cowi,https://www.cowi.dk/loesninger/miljoe https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-bliver-co2-neutral-i-2020 https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-reducerer-sit-co2-ftryk-med-over-70-procent-inden-2030-via-ambitiose-tiltag https://www.cowi.dk/insights/co2-opsamling-kan-maaske-afhjaelpe-klimakrisen-men-hvordan-naar-vi-dertil ,Danish,0.00012383900929612959,0.00012383900929121454,0.0001238390092982331,0.0001238390092958398,0.00012383900930055394,0.0001238390093069775,0.00012383900929672506,0.00012383900929829907,0.00012383900929563478,0.00012383900930952507,0.00012383900929605678,0.00012383900929863688,0.00012383900930414366,0.00012383900929450277,0.00012383900929396186,0.00012383900929470202,0.022465441649443953,0.00012383900929518348,0.000123839009294281,0.9746862611365931,0.0001238390093067437,0.00012383900940782195,0.00012383900930090468,0.0001238390092926867,0.00012383900929410798
verdensmaal,https://www.verdensmaal.org/ ,Danish,0.0006153846154937344,0.0006153846153904422,0.0006153846154477727,0.0006153846154629711,0.0006153846154057907,0.0006153846155060131,0.0006153846154145844,0.000615384615421912,0.000615384615413122,0.4503958085644743,0.0006153846154112716,0.0006153846154352704,0.0006153846154599835,0.0006153846154075617,0.000615384615410057,0.0006153846154170418,0.0006153846154068445,0.0006153846154198909,0.0006153846154064804,0.5354503452806084,0.0006153846154471237,0.0006153846154787793,0.0006153846154484357,0.0006153846154006824,0.0006153846154114257
un,https://un.dk/da/om-fn/verdensmaalene/ https://www.un.org/sustainabledevelopment/sustainable-development-goals/ ,Danish,0.0004938271605092026,0.0004938271605077017,0.0004938271605044125,0.0004938271605031009,0.0004938271605177636,0.0004938271605102392,0.0004938271605010909,0.0004938271605028623,0.000493827160502316,0.0004938271775877039,0.0004938271605005566,0.0004938271605074055,0.0004938271605098836,0.0004938271605011214,0.0004938271605007419,0.0004938271605012573,0.9881481481307234,0.000493827160501948,0.0004938271605138586,0.0004938271605170214,0.0004938271605168551,0.0004938271605140256,0.0004938271605431978,0.0004938271605011207,0.0004938271605011965
hjoerring,https://hjoerring.dk/selvbetjeningssilo/bolig/byg-og-miljoe https://hjorring.viewer.dkplan.niras.dk/media/1712664/Energiplan_2020_2030_Hjoerring.pdf ,Danish,0.0008695652175193529,0.0008695652174136383,0.0008695652174581524,0.0008695652174627927,0.0008695652174690097,0.000869565217552381,0.0008695652174408436,0.0008695652174369209,0.0008695652174349772,0.0008695652175337655,0.0008695652174486876,0.5360041551373308,0.0008695652174859781,0.0008695652174250366,0.000869565217427008,0.0008695652174417888,0.0008695652174636814,0.0008695652174413064,0.0008695652174228115,0.37574275955940434,0.0008695652174790076,0.0008695652174953079,0.06912265051916758,0.000869565217418791,0.000869565217425982
venstre,https://www.venstre.dk/politik/principprogram/natur-og-miljoe https://www.venstre.dk/politik/principprogram/natur-og-miljoe ,Danish,0.00017316017316751874,0.00017316017316139525,0.00017316017316888036,0.00017316017316821049,0.00017316017317040572,0.00017316017317584097,0.0001731601731699781,0.00017316017316916445,0.00017316017316917104,0.0946401225600981,0.00017316017317350643,0.00017316017317465412,0.00017316017316812193,0.00017316017316836347,0.0001731601731672987,0.00017316017316887686,0.00017316017317613156,0.0001731601731679912,0.00017316017316535727,0.9013771934569887,0.0001731601731784032,0.00017316017318436992,0.000173160173167669,0.00017316017316463696,0.00017316017316728984
furesoe,https://www.furesoe.dk/om-kommunen/fakta/organisation/center-for-by-og-miljoe/ https://www.furesoe.dk/oplevelser/velkommen-til-furesoe/miljoe-og-klima/ ,Danish,0.0002836879432865443,0.0002836879432698002,0.0002836879433005314,0.0002836879432810919,0.0002836879432772978,0.3265958149046964,0.00028368794327812284,0.0002836879432811928,0.00028368794327733804,0.0002836879433090822,0.0002836879432781513,0.00028368794330768763,0.00028368794329275095,0.00028368794327687086,0.0002836879432773178,0.0002836879432797341,0.0002836879432908229,0.0002836879432777652,0.0002836879432818666,0.6382322689890465,0.00028368794329183757,0.00028368794329544677,0.028930781353996474,0.0002836879432728345,0.00028368794327660567
