Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,X-UMAP,Y-UMAP
fmk,https://www.fmk.dk/kontakt-og-aabningstider/fagomraader-og-stabe/by-land-og-kultur/miljoe-og-byg/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groen-institution/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groent-kontor/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ ,Danish,0.0001932367149959,0.0001932367149805,0.0001932367149891,0.0001932367149892,0.0001932367149866,0.0001932367150169,0.0001932367149866,0.0001932367149867,0.0001932367149861,0.000193236715011,0.0001932367149884,0.0001932367150138,0.0001932367150003,0.0001932367149851,0.0001932367149878,0.0001932367149858,0.000193236714991,0.0001932367149898,0.0001932367149826,0.9953623188401848,0.0001932367149919,0.0001932367149937,0.0001932367150093,0.0001932367149822,0.0001932367149839,1.7903825044631958,4.010462760925293
sundolitt,https://www.sundolitt.com/da/miljo/ https://www.sundolitt.com/da/miljo/ ,Danish,0.0001932367149835,0.0001932367149769,0.0001932367149863,0.0001932367149837,0.0001932367149891,0.0001932367150002,0.0001932367149865,0.0001932367149849,0.0001932367149846,0.0001932367149967,0.9012910868268824,0.0001932367149991,0.0001932367149934,0.0001932367149828,0.0001932367149821,0.0001932367149848,0.0001932367149782,0.0001932367149821,0.0001932367149821,0.0942644687284055,0.0001932367150084,0.0001932367149927,0.0001932367149901,0.00019323671498,0.0001932367149828,23.24235725402832,8.175458908081055
verdensmaalene,https://www.verdensmaalene.dk/ https://www.verdensmaalene.dk/fakta/verdensmaalene https://www.verdensmaalene.dk/maal/12 https://www.verdensmaalene.dk/fakta/hvad-er-baeredygtig-udvikling ,Danish,6.568144499501987e-05,6.568144499279933e-05,6.568144499700498e-05,6.568144499605582e-05,6.568144499465316e-05,6.568144499962731e-05,6.56814449955052e-05,6.568144499555952e-05,6.568144499520544e-05,0.4075824373703869,6.568144499497823e-05,6.568144499798644e-05,6.568144499732935e-05,6.568144499461978e-05,6.568144499436044e-05,6.568144499543464e-05,6.568144499766186e-05,6.568144499527734e-05,6.568144499414401e-05,0.5011517804118135,6.568144499908471e-05,0.0898207904278924,6.568144499639119e-05,6.568144499372596e-05,6.568144499450317e-05,6.137626647949219,3.8256876468658447
mst,http://mst.dk/ https://mst.dk/natur-vand/vandmiljoe/vandomraadeplaner/ https://mst.dk/erhverv/skovbrug/nationalt-skovprogram/det-nationale-skovprogram/temaer/baeredygtig-produktion/ https://mst.dk/erhverv/groen-virksomhed/groenne-offentlige-myndigheder/baeredygtigt-forbrug/ ,Danish,0.000314960629933,0.0003149606299224,0.0003149606299395,0.0003149606299401,0.0003149606299373,0.0003149606299576,0.0003149606299396,0.0003149606299378,0.0003149606299359,0.0003149606299775,0.0003149606299351,0.0003149606299531,0.0003149606299381,0.0003149606299339,0.000314960629933,0.0003149606299364,0.0003149606299279,0.0003149606299351,0.0003149606299338,0.9924409448814364,0.000314960629957,0.000314960629963,0.000314960629935,0.0003149606299282,0.0003149606299322,0.5348056554794312,6.164995193481445
cowi,https://www.cowi.dk/loesninger/miljoe https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-bliver-co2-neutral-i-2020 https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-reducerer-sit-co2-ftryk-med-over-70-procent-inden-2030-via-ambitiose-tiltag https://www.cowi.dk/insights/co2-opsamling-kan-maaske-afhjaelpe-klimakrisen-men-hvordan-naar-vi-dertil ,Danish,0.0001238390092961,0.0001238390092912,0.0001238390092982,0.0001238390092958,0.0001238390093005,0.0001238390093069,0.0001238390092967,0.0001238390092982,0.0001238390092956,0.0001238390093095,0.000123839009296,0.0001238390092986,0.0001238390093041,0.0001238390092945,0.0001238390092939,0.0001238390092947,0.0224654416494439,0.0001238390092951,0.0001238390092942,0.9746862611365932,0.0001238390093067,0.0001238390094078,0.0001238390093009,0.0001238390092926,0.0001238390092941,2.0739388465881348,2.8916144371032715
verdensmaal,https://www.verdensmaal.org/ ,Danish,0.0006153846154937,0.0006153846153904,0.0006153846154477,0.0006153846154629,0.0006153846154057,0.000615384615506,0.0006153846154145,0.0006153846154219,0.0006153846154131,0.4503958085644743,0.0006153846154112,0.0006153846154352,0.0006153846154599,0.0006153846154075,0.00061538461541,0.000615384615417,0.0006153846154068,0.0006153846154198,0.0006153846154064,0.5354503452806084,0.0006153846154471,0.0006153846154787,0.0006153846154484,0.0006153846154006,0.0006153846154114,6.359192371368408,3.7509000301361084
un,https://un.dk/da/om-fn/verdensmaalene/ https://www.un.org/sustainabledevelopment/sustainable-development-goals/ ,Danish,0.0004938271605092,0.0004938271605077,0.0004938271605044,0.0004938271605031,0.0004938271605177,0.0004938271605102,0.000493827160501,0.0004938271605028,0.0004938271605023,0.0004938271775877,0.0004938271605005,0.0004938271605074,0.0004938271605098,0.0004938271605011,0.0004938271605007,0.0004938271605012,0.9881481481307234,0.0004938271605019,0.0004938271605138,0.000493827160517,0.0004938271605168,0.000493827160514,0.0004938271605431,0.0004938271605011,0.0004938271605011,16.26841926574707,4.238885402679443
hjoerring,https://hjoerring.dk/selvbetjeningssilo/bolig/byg-og-miljoe https://hjorring.viewer.dkplan.niras.dk/media/1712664/Energiplan_2020_2030_Hjoerring.pdf ,Danish,0.0008695652175193,0.0008695652174136,0.0008695652174581,0.0008695652174627,0.000869565217469,0.0008695652175523,0.0008695652174408,0.0008695652174369,0.0008695652174349,0.0008695652175337,0.0008695652174486,0.5360041551373308,0.0008695652174859,0.000869565217425,0.000869565217427,0.0008695652174417,0.0008695652174636,0.0008695652174413,0.0008695652174228,0.3757427595594043,0.000869565217479,0.0008695652174953,0.0691226505191675,0.0008695652174187,0.0008695652174259,5.617741107940674,5.6709113121032715
venstre,https://www.venstre.dk/politik/principprogram/natur-og-miljoe https://www.venstre.dk/politik/principprogram/natur-og-miljoe ,Danish,0.0001731601731675,0.0001731601731613,0.0001731601731688,0.0001731601731682,0.0001731601731704,0.0001731601731758,0.0001731601731699,0.0001731601731691,0.0001731601731691,0.0946401225600981,0.0001731601731735,0.0001731601731746,0.0001731601731681,0.0001731601731683,0.0001731601731672,0.0001731601731688,0.0001731601731761,0.0001731601731679,0.0001731601731653,0.9013771934569887,0.0001731601731784,0.0001731601731843,0.0001731601731676,0.0001731601731646,0.0001731601731672,2.647355556488037,4.376638412475586
furesoe,https://www.furesoe.dk/om-kommunen/fakta/organisation/center-for-by-og-miljoe/ https://www.furesoe.dk/oplevelser/velkommen-til-furesoe/miljoe-og-klima/ ,Danish,0.0002836879432865,0.0002836879432698,0.0002836879433005,0.000283687943281,0.0002836879432772,0.3265958149046964,0.0002836879432781,0.0002836879432811,0.0002836879432773,0.000283687943309,0.0002836879432781,0.0002836879433076,0.0002836879432927,0.0002836879432768,0.0002836879432773,0.0002836879432797,0.0002836879432908,0.0002836879432777,0.0002836879432818,0.6382322689890465,0.0002836879432918,0.0002836879432954,0.0289307813539964,0.0002836879432728,0.0002836879432766,6.25902795791626,9.961445808410645
