result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?,index,resolved,status,error,filename,mimetype,encoding
94.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,hjoerring,,Byg og Miljø | Hjørring Kommune,https://hjoerring.dk/selvbetjeningssilo/bolig/byg-og-miljoe,"Før du ansøger via Byg og Miljø, er det en rigtig god ide at læse nedenstående oplysninger. Forhåndsdialog med en byggesagsbehandler - På den måde sikre du dig, at du får indsendt alle de relevante oplysninger til din byggeansøgning, og derudover kan du få svar på mange af de spørgsmål som du måtte have i forbindelse med din byggesag.",1640000.0,kommunal,,32,,200,,f50e6a44-fc25-49d1-ad60-732f871e2d32.html,text/html,utf-8
93.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,gentofte,,Miljø - Gentofte Kommune,https://www.gentofte.dk/da/Borger/By-og-milj%C3%B8/Milj%C3%B8,"Miljø Gentofte er en miljøbevidst kommune med store miljø- og naturværdier, hvor en bæredygtig udvikling sikres sammen med borgere, virksomheder og interesseorganisationer. Gentofte Kommune fører miljøtilsyn med flere forhold i kommunen, både i tilknytning til …",1640000.0,kommunal,,31,https://www.gentofte.dk/det-lokale-demokrati/budget-planer-og-politikker/planer-politikker-og-indsatser/groen-baeredygtig-og-klimaansvarlig-kommune/,200,,3de1634c-7873-4655-be16-94362ef14595.html,text/html,utf-8
5.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,alternativet,,"Klima, miljø og natur // Alternativet",https://alternativet.dk/politik/vores-politik/klima-miljo-natur,I en cirkulær økonomi tages der ansvar for at genanvende affaldet som nye råmaterialer samt at forlænge levetiden af produkter ved effektivt genbrug. I en sådan model bliver råmaterialerne brugt igen og igen i stedet for at blive nedgraderet til forurening gennem affaldsforbrænding. Det globale befolkningstal stiger år for år.,1640000.0,Statslig,Links er til PDF-tekster,3,,200,,f27d60aa-6ca4-497c-860c-5da1c77b5195.html,text/html,utf-8
26.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,bane,,GAB Miljø Anlæg | Banedanmark,https://www.bane.dk/da/Leverandoer/Krav/Generelle-arbejdsbeskrivelser/GAB-Miljoe-Anlaeg,Håndtering af affald Jordforurening Luftforurening Støj og vibrationer Anlægsmanual Politikker Tekniske data CAD Modeller Eksisterende ledninger Afvanding ... GAB Miljø Anlæg Publiceringsdato: 24.02.2017 Her finder du den generelle arbejdsbeskrivelse (GAB) for miljø anlæg. pdf Footer Banedanmark. Carsten ...,1640000.0,Statslig,"Interessante tekstbidder om bæredygtighed ift. togtransport. Et link referer til arktis, kan dog ikke vurdere hvor relevant det nødvendigvis er: https://www.bane.dk/-/media/Bane/Borger/Baneprojekter/Kommende-projekter/Elektrificering-og-opgradering-Aarhus-H-_-Lindholm/VVM_redegoerelse/Hastighedsopgradering-Aarhus_Hobro/1100014220_14611_Klimatilpasning_-Hast-Aarhus_Hobro.pdf",8,,200,,2815a0fd-36d6-41a8-b120-59ebed4cc5c9.html,text/html,utf-8
,,,,Danish,klimatilpasning,,tilføjet fra holstebro.dk,https://www.klimatilpasning.dk/,,,statslig,"Kan måske være interessant at se nærmere på. Tværgående samarbejde mellem en række ministerier, styrelser og organisationer. Arktis og Grønland bliver nævnt nogle steder, men udelukkende ifm. havstigninger forårsaget af smeltende is",20,,200,,2cc254b4-b4f6-49ec-a171-9ab0ca651cb8.html,text/html,utf-8
95.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,stok,,Miljø - STOK,https://www.stok.dk/om-stok/miljoe.aspx,"Miljø &amp; bæredygtighed FSC ... Middelfart og Sorø strøm fra vedvarende energikilder, som for eksempel vandkraft, vindmøller, solceller og biomasse. Download certifikater for de enkelte lokationer nedenunder: Certifikat Langeskov. Certifikat Middelfart.",1640000.0,privat,,33,,200,,d1ba9785-a08e-4f32-840d-80ba2dfd2222.html,text/html,utf-8
40.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,tvis,,TVIS | Miljø,https://tvis.net/miljoe/,"Miljø. Fjernvarmeforbrugerne er langt i den grønne omstilling. ... Dels ved at udvikle flere Vedvarende Energi-projekter i TVIS-systemet, men også ved at tilbyde fjernvarme til endnu flere. Udfasning af fossile brændsler. CO 2-udledningen fra fjernvarmen i Trekantområdet er faldet med 75% siden 1990.",1640000.0,privat,,13,,200,,5203470b-2036-48e4-8582-434a265ff0be.html,text/html,utf-8
112.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,texta,,"FN’s 17 verdensmål: Hvem, hvad, hvorfor & hvordan ...",https://texta.dk/fns-17-verdensmaal/,"01.09.2020 · Hos UN City Copenhagen står der: ”Verdensmålene udgør 17 konkrete mål, som forpligter alle FN’s medlemslande til helt at afskaffe fattigdom og sult i verden, reducere uligheder, sikre god uddannelse og bedre sundhed til alle, anstændige jobs og mere bæredygtig vækst.De fokuserer ligeledes på at fremme fred og sikkerhed og stærke institutioner og på at styrke …",369000.0,,,45,,200,,86be9cad-2a9a-4c68-96f0-b8272ed6f86f.html,text/html,utf-8
90.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,silkeborg,,Natur og Miljø - Silkeborg Kommune,https://silkeborg.dk/Kommunen/Afdelinger-og-ledelse/Teknik-og-Miljoeafdelingen/Natur-og-Miljoe,Sektionen løser myndigheds- og driftsopgaver inden for hele natur- og miljøområdet. Vi er inddelt i seks faglige teams med hver vores hovedopgaver.,1640000.0,kommunal,,30,,200,,f51aa28a-b132-49d1-9ffc-01bb911841b8.html,text/html,utf-8
123.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,un,,"Om FN""s 17 Verdensmål - FN Byen i København. Læs mere",https://un.dk/da/om-fn/verdensmaalene/,"Verdensmålene bygger på resultaterne fra de otte Millennium Development Goals – også kaldet 2015-målene – der eksisterede fra 2000-2015. Disse tidligere udviklingsmål har vist os, at det er muligt at opnå resultater, hvis den politiske vilje er til stede, vi sætter klare mål, og vi prioriterer vores ressourcer.",369000.0,,,53,,,ssl,,,
