Actor,urls,Language,Topic: Færøsk variation,Topic: Menneskerettigheder og SDG,Topic: Bæredygtig udvikling og SDG,"Topic: Greenland and the environment (local, regional, international)",Topic: Grønland og Nuuk og Aalborg Kommune,Topic: Havets biodiversitet og ressourcer og SDG,"Topic: Virksomheder, grøn omstilling og SDG",Topic: Nye bæredygtige danske produkter,"Topic: Børn, fattigdom, ulighed og SDG",Topic: Genanvendelse og  byggeri,Topic: Fremtidens bæredygtige løsninger i Danmark og SDG,Topic: Færøsk variation 2,Topic: Bæredygtig produktion og ressourcer og SDG,Topic: Sustainable hunting in the Arctic,Topic: Udsatte børn og unge og SDG,Topic: Certificerede produkter og SDG,Topic: Dansk bæredygtighedsindsats i Arktis og SDG,Topic: Grøn omstilling i Nuuk Kommune,Topic: Torshavn Kommune og bæredygtighed,Topic: Bæredygtige virksomheder på Færøerne,X-UMAP,Y-UMAP
nordeainvestmagasinet,https://nordeainvestmagasinet.dk/baeredygtighed ,Danish,0.002000000000003,0.002000000000083,0.00200000000011,0.002000000000221,0.002000000000191,0.002000000000152,0.002000000000132,0.002000000000114,0.002000000000448,0.002000000000539,0.002000000000082,0.002000000000067,0.002000000000124,0.002000000000014,0.002000000000108,0.002000000000264,0.002000000000315,0.002000000000422,0.002000000000049,0.002000000000083,9.52754211425781,6.11694765090942
if,https://www.if.dk/om-if/baeredygtighed ,Danish,0.000952380952391,0.000952380952477,0.000952380952446,0.000952380952457,0.000952380952806,0.000952380952459,0.000952380952447,0.000952380952435,0.000952380952488,0.000952380952437,0.000952380952432,0.000952380952432,0.000952380952433,0.000952380952501,0.000952380952442,0.000952380952455,0.000952380952456,0.000952380952685,0.000952380952417,0.000952380952436,8.01437187194824,7.14827156066895
jyskebank,https://www.jyskebank.dk/ir/baeredygtighed ,Danish,0.001666666666672,0.001666666666755,0.001666666666746,0.001666666666726,0.001666666666903,0.001666666666751,0.001666666666785,0.001666666666743,0.001666666666823,0.001666666666713,0.001666666666749,0.001666666666729,0.001666666666736,0.001666666667422,0.001666666666745,0.001666666666761,0.001666666666797,0.001666666666724,0.001666666666701,0.001666666666736,9.22167015075684,6.4403772354126
scandibyg,https://www.scandibyg.dk/baeredygtighed/ ,Danish,0.001379310344831,0.001379310344931,0.00137931034489,0.001379310344893,0.00137931034495,0.001379310344875,0.001379310344885,0.00137931034489,0.001379310345038,0.001379310344893,0.001379310344874,0.001379310344869,0.001379310344881,0.001379310344838,0.001379310344878,0.001379310344963,0.001379310344975,0.001379310344871,0.001379310344851,0.001379310344871,8.82100963592529,6.65126419067383
rockpanel,https://www.rockpanel.dk/om-os/vores-tankegang/baeredygtighed/ ,Danish,0.002105263157897,0.002105263158001,0.002105263157994,0.002105263157952,0.00210526315804,0.002105263157963,0.002105263157983,0.002105263158,0.002105263158757,0.002105263158009,0.00210526315797,0.002105263157949,0.002105263157972,0.002105263157903,0.002105263157964,0.002105263159619,0.002105263158053,0.002105263157937,0.002105263157928,0.002105263157966,9.53902530670166,6.18528842926025
dansani,https://www.dansani.dk/om-dansani/vores-filosofi/baeredygtighed ,Danish,0.000952380952384,0.000952380952463,0.00095238095243,0.000952380952422,0.000952380952455,0.000952380952429,0.000952380952425,0.000952380952434,0.00095238095742,0.00095238095243,0.000952380952423,0.000952380952421,0.000952380952433,0.000952380952394,0.000952380952447,0.000952380952457,0.000952380952449,0.000952380952481,0.000952380952402,0.000952380952419,8.08680629730225,7.10151386260986
dfs,https://www.dfs.dk/viden/baeredygtighed/ ,Danish,0.000179372197317,0.000179372197324,0.000179372197321,0.000179372197317,0.000179372197335,0.000179372197321,0.00017937219732,0.000179372197319,0.128692237095805,0.000179372197316,0.000179372197318,0.000179372197318,0.000179372197319,0.000179372197327,0.00017937219732,0.000179372197323,0.000179372197333,0.000179372197329,0.000179372197315,0.000179372197318,2.83048439025879,4.25901699066162
moelven,https://www.moelven.com/dk/miljo-og-baredygtighed/ ,Danish,0.000689655172415,0.00068965517245,0.000689655172452,0.000689655172438,0.000689655172483,0.000689655172447,0.000689655172456,0.000689655172454,0.000689655172487,0.000689655172461,0.000689655172445,0.000689655172441,0.000689655172446,0.000689655172428,0.000689655172448,0.000689655172481,0.000689655172482,0.000689655172445,0.00068965517243,0.000689655172442,6.52309322357178,7.02517795562744
atp-ejendomme,https://atp-ejendomme.dk/baeredygtighed/ ,Danish,0.000173160173166,0.000173160173172,0.000173160173171,0.00017316017317,0.000173160173184,0.000173160173172,0.000173160173171,0.000173160173169,0.000173160173193,0.000173160173171,0.000173160173169,0.000173160173167,0.000173160173169,0.000173160173175,0.000173160173169,0.000173160173183,0.000173160173184,0.00017316017319,0.000173160173166,0.000173160173168,1.71623384952545,3.50973606109619
globalcompact,https://globalcompact.dk/om-os/verdensmaalene/ https://viv.globalcompact.dk/ ,Danish,4.99375780281294E-05,4.99375780313031E-05,4.9937578030234E-05,4.99375780294375E-05,4.99375780325487E-05,4.99375780300872E-05,4.99375780300654E-05,4.99375780296896E-05,0.998801498127268,4.99375780292869E-05,4.99375780293111E-05,4.9937578029216E-05,4.9937578029749E-05,4.99375780316068E-05,4.99375780297219E-05,4.99375780316267E-05,4.99375780328243E-05,4.99375780303118E-05,4.99375780285066E-05,4.99375780295199E-05,7.9265456199646,3.63432264328003
byoghavn,https://byoghavn.dk/baeredygtig-byudvikling-2/ ,Danish,0.000465116279087,0.000465116279125,0.000465116279099,0.000465116279094,0.000465116279135,0.000465116279094,0.000465116279101,0.000465116279095,0.000465116279125,0.000465116279099,0.000465116279093,0.000465116279091,0.000465116279094,0.000465116279101,0.000465116279095,0.000465116279157,0.000465116279122,0.000465116279107,0.000465116279091,0.000465116279096,4.93388843536377,6.91406202316284
Tórshavnar kommuna,https://www.torshavn.fo/bustadur-og-bygging/orka-og-umhvorvi/oljutangi-soleidis-gert-tu/ https://www.torshavn.fo/tidindi/kanna-nyggja-og-spennandi-vinnu/ https://www.facebook.com/Torshavn/ ,Faroese,0.991730149631722,8.14663951135533E-05,8.14663951134776E-05,8.14663951136442E-05,8.14663951137334E-05,8.14663951133176E-05,8.14663951134819E-05,8.14663951134407E-05,8.1466395114214E-05,8.14663951180401E-05,8.14663951134914E-05,8.14663951139763E-05,8.14663951134994E-05,8.14663951182385E-05,8.14663951134394E-05,8.14663951138377E-05,8.14663951138852E-05,0.006396123280642,8.14663951209454E-05,8.14663951140988E-05,9.65775966644287,13.0438203811646
gransking,https://www.gransking.fo/fo/tilfeingi/tidindi/umhvorvi-vedurlag-og-orka-hogt-radfest-i-nordurlondum/ https://www.gransking.fo/fo/tilfeingi/tidindi/opid-hus-hja-nyggja-granskingarstovninum-sjokovanum/ http://www.gransking.fo/fo/tilfeingi/tidindi/vedurlagsbroytingar-og-arin-a-fornminni-og-mentanarumhvorvi-nordurlendskt-samstarv/ (link til flere links) https://www.gransking.fo/fo/leita/?s=arktis https://www.sjokovin.fo ,Faroese,0.996990595611196,0.000125391849532,0.000125391849532,0.000125391849532,0.000125391849532,0.000125391849532,0.000125391849532,0.000125391849532,0.000125391849533,0.000125391849534,0.000125391849532,0.000125391849533,0.000125391849532,0.000125391849542,0.000125391849532,0.000125391849532,0.000125391849534,0.000125391849533,0.000125391849545,0.000125391849533,9.77955913543701,12.8036994934082
us,https://www.us.fo/ https://www.us.fo/Default.aspx?ID=13791 https://www.us.fo/Default.aspx?ID=13805&Action=1&NewsId=11248&currentPage=2&M=NewsV2 https://www.us.fo/Default.aspx?ID=14085 https://www.us.fo/Default.aspx?ID=13791 https://www.us.fo/Default.aspx?ID=13875 ,Faroese,0.845343805329091,0.000144927536241,0.000144927536238,0.000144927536238,0.000144927536247,0.000144927536238,0.000144927536239,0.000144927536237,0.000144927536249,0.00014492753624,0.000144927536237,0.000144927536238,0.000144927536237,0.076733506957456,0.000144927536238,0.000144927536244,0.000144927536249,0.000144927536285,0.000144927536247,0.000144927536239,10.0726518630981,12.267746925354
articon,https://www.articon.fo/fo/soleidis-arbeida-vit/heilsa-trygd-og-umhvorvi/ ,Faroese,0.991999999981492,0.000333333333362,0.000333333333342,0.000333333333342,0.00033333333335,0.000333333333344,0.000333333333343,0.000333333333344,0.000333333333349,0.000333333333352,0.00033333333334,0.000333333333348,0.000333333333342,0.00033333333335,0.000333333333339,0.000333333333338,0.00033333333334,0.000333333333344,0.000333333351524,0.000333333333347,10.3589906692505,11.9173517227173
fuglafjordur,https://fuglafjordur.fo/kunning-um-umhvoervi-gamlir-oljutangar-sum-leka/ https://fuglafjordur.fo/framloegan-til-kjak-id-susanna-olsen-namslektari-i-samfelagsvisindum-helt-a-altjoda-kvinnudegnum-8-mars-2021/ https://fuglafjordur.fo/arktis-foeroyar-og-fuglafjarda-havn/ ,Faroese,0.999154929577387,3.52112676088553E-05,3.52112676073188E-05,3.52112676087209E-05,3.52112676110181E-05,3.52112676079081E-05,3.52112676072595E-05,3.52112676073618E-05,3.5211267613425E-05,3.52112676082593E-05,3.52112676071382E-05,3.52112676074091E-05,3.52112676073359E-05,3.52112676124753E-05,3.52112676075594E-05,3.52112676091117E-05,3.52112676111034E-05,3.52112676076194E-05,3.5211267609541E-05,3.52112676072958E-05,9.59986782073975,13.2989778518677
irf,https://irf.fo/wp-content/uploads/2017/01/arsfrasgn-2012.pdf ,Faroese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3196201324463,7.55646133422852
lms,"http://tilfar.lms.fo/logir/alit/2002.05%20Frágreiðing%20um%20orkunýtslu,%20sparing%20og%20grønan%20roknskap%20politikk..pdf https://www.lms.fo/fo/arbeidsoki/stjornarsamskipan/onnur-samskipan/heimsmalini-2030/ http://cdn.lms.fo/media/9579/uvmr_fer%C3%B0avinna2017_web.pdf http://tilfar.lms.fo/logir/alit/2008.06%20Frágreiðing%20frá%20fiskiorkunevndini.pdf ",Faroese,0.915469183559297,0.000246913580259,0.000246913580268,0.000246913580263,0.000246913580262,0.000246913580258,0.000246913580263,0.000246913580257,0.000246913580312,0.000246913580262,0.000246913580259,0.000246913580258,0.00024691358026,0.0420968163818,0.000246913580265,0.000246913580279,0.037001901293002,0.000246913580286,0.000246913580277,0.000246913580267,10.323055267334,12.0673456192017
uvmr,https://www.uvmr.fo/fo/kunning/tidindi/uppskot-til-kunngerd-um-oljod-fra-skipum-vid-bryggju-til-ummaelis/ https://www.uvmr.fo/fo/arbeidsoki/orka-og-elveiting/ https://www.uvmr.fo/fo/arbeidsoki/nattura-umhvorvi-og-lendi/umhvorvisvernd/ https://www.uvmr.fo/fo/um-radid/stovnar/ https://www.uvmr.fo/fo/um-radid/stovnar/umhvorvisstovan/ https://www.uvmr.fo/fo/um-radid/nevndir-grunnar-og-rad/ ,Faroese,0.997151335310545,0.00011869436202,0.000118694362021,0.00011869436202,0.000118694362022,0.00011869436202,0.00011869436202,0.00011869436202,0.000118694362022,0.000118694362022,0.00011869436202,0.000118694362021,0.00011869436202,0.000118694362028,0.00011869436202,0.00011869436202,0.000118694362022,0.000118694362023,0.000118694362924,0.000118694362021,9.75648021697998,12.8685579299927
brandbjerg,https://brandbjerg.dk/baeredygtighed-4/ ,Danish,0.000185185185187,0.000185185185195,0.000185185185195,0.000185185185194,0.000185185185208,0.000185185185194,0.000185185185194,0.000185185185194,0.000185185185212,0.000185185185195,0.000185185185193,0.000185185185192,0.000185185185194,0.00018518518519,0.000185185185194,0.000185185185202,0.000185185185204,0.01475596823804,0.000185185185189,0.000185185185192,1.8254486322403,3.96592402458191
