Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
um,https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/news/newsdisplaypage/?newsid=01fc577b-6bf2-4fd7-8572-5af0534cf599 https://um.dk/en/foreign-policy/the-arctic/ https://um.fi/arctic-cooperation https://um.fi/finland-s-chairmanship-of-the-arctic-council-in-2017-2019 https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/foreign-policy/the-arctic/business-financng-in-the-arctic/ ,True,True,True,True,True,True,False,False,False,False,False,False,False,5.437740569657415e-05,5.437747990326934e-05,5.437744086868974e-05,5.437744397573137e-05,5.4377502073347955e-05,5.437746058113715e-05,5.437744869916384e-05,5.4377437133558854e-05,5.4377459078676486e-05,5.437743761100128e-05,0.029956564878937237,0.9693365280508837,5.437753268693579e-05,5.43775541675986e-05,5.4377467703478815e-05
defensenews,https://www.defensenews.com/land/2021/01/21/army-chief-teases-new-arctic-strategy/ https://www.defensenews.com/opinion/commentary/2020/05/11/chinas-strategic-interest-in-the-arctic-goes-beyond-economics/ https://www.defensenews.com/digital-show-dailies/surface-navy-association/2021/01/11/us-navy-rolls-out-new-strategy-for-expanding-arctic-operations/ https://www.defensenews.com/opinion/commentary/2020/05/11/chinas-strategic-interest-in-the-arctic-goes-beyond-economics/ ,True,True,False,True,False,True,False,False,False,False,False,False,False,4.050233471335906e-05,4.050230885364768e-05,4.050228744686753e-05,4.05022830784335e-05,0.003425164313138697,4.050228291461695e-05,4.050229297222986e-05,4.0502268915992555e-05,4.050228824707831e-05,4.0502271323236976e-05,0.25751489036739467,0.7385739177365606,4.050233542409106e-05,4.050235109023095e-05,4.050227792626254e-05
worldwildlife,https://www.worldwildlife.org/places/arctic https://www.worldwildlife.org/places/arctic https://www.worldwildlife.org/places/arctic https://www.worldwildlife.org/species/arctic-fox https://www.worldwildlife.org/places/arctic ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.00017873104923460566,0.00017873118169537777,0.00017873121787573057,0.0001787311678686745,0.6585376529390196,0.0001787312351480824,0.00017873143755438244,0.00017873117602649224,0.00017873134428317966,0.00017873118344142268,0.0001787313918134683,0.33913884093217245,0.0001787312625031273,0.00017873118644661678,0.000178731294916578
maritime-executive,https://maritime-executive.com/editorials/the-arctic-shipping-route-no-one-s-talking-about https://maritime-executive.com/editorials/the-arctic-shipping-route-no-one-s-talking-about ,True,True,False,False,False,True,False,False,False,False,False,False,False,3.6449807173964084e-05,3.644986655161479e-05,3.6449841589619536e-05,3.644984378691121e-05,0.5281062685507982,3.644984013044196e-05,3.644986281100244e-05,3.6449831399809515e-05,3.644984532991371e-05,3.644983032524615e-05,3.6449877926489485e-05,0.4714198834257179,3.6449868700108256e-05,3.644987025990173e-05,3.644983749893047e-05
arcticwwf,https://arcticwwf.org/work/climate/ https://arcticwwf.org/ https://arcticwwf.org/work/climate/ https://arcticwwf.org/newsroom/the-circle/sustainable-development-goals/why-the-arctic-needs-the-un-sustainable-development-goals/ https://arcticwwf.org/work/climate/ https://arcticwwf.org/ https://arcticwwf.org/work/climate/ https://arcticwwf.org/ https://arcticwwf.org/ https://arcticwwf.org/work/oil-and-gas/ ,True,True,True,True,True,True,False,False,False,False,False,False,False,3.112356849002637e-05,3.112362168475473e-05,3.112359251937767e-05,3.112359506832135e-05,0.8483743286123794,3.11236059444982e-05,3.112360538422255e-05,3.112359250356698e-05,3.112360655278984e-05,3.112359286014921e-05,3.112363727759828e-05,0.15122106448306177,3.112362035251405e-05,3.112365912011042e-05,3.1123606800881006e-05
uwyo,http://www-das.uwyo.edu/~geerts/cwx/notes/chap17/arctic.html http://www-das.uwyo.edu/~geerts/cwx/notes/chap17/arctic.html ,True,True,False,False,False,True,False,False,False,False,False,False,False,0.0035244022391629753,7.285988936827143e-05,7.285982047330307e-05,7.285988286554388e-05,0.9877338531006923,7.285983263503288e-05,7.285991015769813e-05,7.285980967952365e-05,7.285984285738718e-05,7.28598208063728e-05,7.285985057904947e-05,7.28598886207952e-05,7.285986745517783e-05,0.007867426419288195,7.285982535827379e-05
gia,https://www.gia.edu/gems-gemology/summer-2016-diamonds-canadian-arctic-diavik-mine https://www.gia.edu/gems-gemology/summer-2016-diamonds-canadian-arctic-diavik-mine ,False,True,False,True,False,True,False,False,False,False,False,False,False,1.2075116404704828e-05,1.2075124256964625e-05,1.2075121649756275e-05,1.2075121419420234e-05,1.2075135617122831e-05,1.2075120687568365e-05,0.9998309482475523,1.2075117989942148e-05,1.2075123184718518e-05,1.2075118204824727e-05,1.207512960638461e-05,1.2075136193211741e-05,1.2075131105513663e-05,1.207513514629253e-05,1.2075120981459473e-05
noaa,https://www.arctic.noaa.gov/Arctic-News/ArtMID/5556/ArticleID/387/International-Arctic-Buoy-Programme https://www.pmel.noaa.gov/arctic-zone/gallery_np_seasons.html http://www.arctic.noaa.gov/ https://arctic.noaa.gov/report-card/report-card-2020 https://response.restoration.noaa.gov/arctic-erma https://oceanservice.noaa.gov/economy/arctic/ http://www.arctic.noaa.gov/ https://arctic.noaa.gov/report-card/report-card-2020 ,True,True,False,False,False,True,False,False,False,False,False,False,False,4.486319123324227e-05,4.486323500710051e-05,4.486323152704882e-05,4.48632290179356e-05,0.6738111392408426,4.486323232104896e-05,4.486324611394458e-05,4.486321727047299e-05,4.486323748214553e-05,4.486322150177202e-05,4.4863264614963744e-05,0.32560563864536685,4.48633046892806e-05,4.4863273065249476e-05,4.4863229946295885e-05
nwf,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Wild-Places/Arctic https://www.nwf.org/~/media/PDFs/Be%20Out%20There/Schoolyard%20Habitats/ArcticEnvironment.pdf ,False,True,False,False,False,True,False,False,False,False,False,False,False,0.004039731303320242,0.0001053187681094228,0.00010531871186534908,0.00010531873914900402,0.7044903725447306,0.00010531875170597291,0.00010531880897091811,0.00010531871299589388,0.00010531880536601,0.00010531870582834413,0.00010531880016222617,0.29020607091686784,0.00010531880382575272,0.00010531884014979722,0.00010531878695265352
energy,https://www.energy.gov/arctic/arctic-energy-office https://www.energy.gov/arctic/arctic-energy-office https://www.energy.gov/arctic/arctic-energy-office https://www.energy.gov/arctic/arctic-energy-office ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.009965610881161007,0.00015987228202597858,0.00015987227631213317,0.00015987226657928865,0.00015987244374379022,0.0001598723344385847,0.00015987230286159,0.00015987223579372683,0.00015987237673694018,0.00015987224719103915,0.00015987244780251783,0.9443562554599901,0.043759665699672934,0.00015987242436641148,0.0001598723213238237
gizmodo,https://earther.gizmodo.com/the-arctic-is-undergoing-changes-scientists-never-expec-1840344312 https://earther.gizmodo.com/the-arctic-is-undergoing-changes-scientists-never-expec-1840344312 ,True,True,False,False,False,True,False,False,False,False,False,False,False,0.00016064266406902791,0.00016064281989075464,0.00016064271935550099,0.0001606427294768476,0.9977510007337438,0.00016064276783737337,0.00016064279084124813,0.0001606427207836484,0.00016064287255142213,0.00016064272503212438,0.00016064290031020007,0.0001606432439489382,0.00016064277438074116,0.00016064277260798845,0.0001606427651703582
ucalgary,https://arctic.ucalgary.ca/ https://arctic.ucalgary.ca/jim-bourque-scholarship https://arctic.ucalgary.ca/ https://arctic.ucalgary.ca/ https://arctic.ucalgary.ca/ ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.00014005606055550392,0.00014005633888477365,0.00014005618014758929,0.00014005621524727647,0.00014005638412663987,0.00014005623019154912,0.00014005638085764027,0.00014005618350022763,0.00014005623367398178,0.0001400561877747025,0.00014005637489708866,0.7461617939740158,0.22543520906638365,0.02672232194358803,0.00014005624615550912
nsidc,https://nsidc.org/cryosphere/arctic-meteorology/arctic.html https://nsidc.org/cryosphere/arctic-meteorology/arctic-people.html https://nsidc.org/cryosphere/arctic-meteorology/arctic.html https://nsidc.org/cryosphere/arctic-meteorology/arctic-people.html https://nsidc.org/arcticseaicenews/ https://nsidc.org/cryosphere/arctic-meteorology/arctic.html http://nsidc.org/arcticseaicenews/ https://nsidc.org/cryosphere/arctic-meteorology/arctic-people.html ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.010596062506425771,3.297071791843229e-05,3.297069014650007e-05,3.297070505902691e-05,0.9784538005695437,3.297069624527401e-05,3.297071955879065e-05,3.2970688387128934e-05,3.297070649927256e-05,3.297068758398756e-05,3.297071291305419e-05,3.2970734885985816e-05,3.297070081452859e-05,0.01055448846354576,3.29707004729098e-05
un,https://www.un.org/en/chronicle/article/climate-change-arctic-inuit-reality https://www.un.org/en/chronicle/article/climate-change-arctic-inuit-reality https://news.un.org/en/story/2020/07/1068961 https://news.un.org/en/story/2021/03/1086752 https://news.un.org/en/story/2021/03/1086752 https://www.un.org/en/chronicle/article/arctic-ocean-and-sea-ice-our-nuna ,False,True,False,False,True,True,False,False,False,False,False,False,False,3.380665059915635e-05,3.380668752119595e-05,3.380666458253449e-05,3.380667562415587e-05,0.5579019243057309,3.38066758808697e-05,3.380671068745296e-05,3.380666487774515e-05,3.380668595285982e-05,3.3806664580899855e-05,3.380670753238607e-05,0.42309820139279525,3.3806681570647944e-05,0.018594194150512878,3.380668155101516e-05
heritage,https://www.heritage.org/defense/report/arctic-region-us-policy-arctic-security https://www.heritage.org/global-politics/report/chinas-increasing-role-the-arctic ,False,True,False,False,False,True,False,False,False,False,False,False,False,7.662837649232223e-05,7.662844150272431e-05,7.662849007438278e-05,7.662843800747026e-05,7.662852927111976e-05,7.662844803663093e-05,7.662845254838956e-05,7.662842636003091e-05,7.662845664663206e-05,7.662842674591082e-05,0.22905593762388263,0.7699478924647066,7.662847612087299e-05,7.662850476980314e-05,7.66284448344195e-05
geology,https://geology.com/articles/arctic-oil-and-gas/ https://geology.com/articles/arctic-oil-and-gas/ ,True,True,False,False,False,True,False,False,False,False,False,False,False,5.947078536141263e-05,5.9470828441088006e-05,5.947084158384679e-05,5.9470812612912464e-05,0.012129110130254493,5.9470792400097495e-05,0.09356711902690838,5.947077673510277e-05,5.947079871277016e-05,5.947078051889497e-05,5.947081792493005e-05,0.8935901210524344,5.9470848901892016e-05,5.94708981312748e-05,5.947080907842143e-05
thediplomat,https://thediplomat.com/2019/01/chinas-busy-year-in-the-arctic/ ,False,True,False,False,False,True,False,False,False,False,False,False,False,0.00014214644659628527,0.00014214664521518855,0.0001421469089528933,0.00014214661747351912,0.12020265923122922,0.0001421466091032065,0.00014214663333493075,0.00014214655970659837,0.00014214661889723227,0.00014214656623866593,0.11275614056557973,0.7158531398549176,0.00014214671666737183,0.04962444744071237,0.0001421465853751375
nytimes,https://www.nytimes.com/2019/05/24/climate/china-arctic.html ,False,True,False,False,False,True,False,False,False,False,False,False,False,0.00012995455530499987,0.00012995487331263458,0.0001299546889610444,0.00012995472213382103,0.03308112395914182,0.0001299546993592159,0.0001299547570324241,0.00012995464717036818,0.00012995474699379502,0.00012995465092985605,0.14163170832360852,0.8237277110456158,0.00012995478863514224,0.00012995486202810517,0.000129954679772133
bloomberg,https://www.bloomberg.com/news/articles/2020-12-12/melting-arctic-ice-means-longest-lng-sailing-season-in-northern-sea-route https://www.bloomberg.com/graphics/2017-arctic/the-political-arctic/ https://www.bloomberg.com/graphics/2017-arctic/the-political-arctic/ https://www.bloomberg.com/graphics/2017-arctic/ https://www.bloomberg.com/news/articles/2021-01-06/secret-bids-opened-in-rare-auction-of-arctic-oil-drilling-rights https://www.bloomberg.com/graphics/2017-arctic/ ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.00016750423829015414,0.00016750470222472137,0.03957287118302491,0.00016750464902599345,0.6372548118637522,0.0001675044454774044,0.0001675044731794558,0.00016750438449448184,0.0001675045659342775,0.00016750438888626294,0.0001675046034363314,0.27071813747617585,0.050611629722276265,0.00016750488891941923,0.0001675044149023378
